word_a,word_b,tone_a,tone_b,meaning_a,meaning_b,gold_ipa_a,gold_ipa_b,source,source_id,source_split,status,notes
word1,word2,H,L,placeholder_meaning_a1,placeholder_meaning_b1,wórd,wòrd,waxal,waxal-seed-001,construction,seed,placeholder row until real verified pairs are ingested
word2,word3,H,L,placeholder_meaning_a2,placeholder_meaning_b2,wórd,wòrd,waxal,waxal-seed-002,evaluation,seed,placeholder row until real verified pairs are ingested
word1,word3,H,L,placeholder_meaning_a3,placeholder_meaning_b3,wórd,wòrd,waxal,waxal-seed-003,evaluation,seed,placeholder row until real verified pairs are ingested
agícoka,agĩcoka,,,,,,,waxal,waxal:agicoka:agícoka:agĩcoka,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
aingì,aingí,,,,,,,waxal,waxal:aingi:aingì:aingí,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
aingì,aingî,,,,,,,waxal,waxal:aingi:aingì:aingî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
aingì,aingĩ,,,,,,,waxal,waxal:aingi:aingì:aingĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
aingí,aingî,,,,,,,waxal,waxal:aingi:aingí:aingî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
aingí,aingĩ,,,,,,,waxal,waxal:aingi:aingí:aingĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
aingî,aingĩ,,,,,,,waxal,waxal:aingi:aingî:aingĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
andù,andú,,,,,,,waxal,waxal:andu:andù:andú,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
andù,andû,,,,,,,waxal,waxal:andu:andù:andû,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
andù,andũ,,,,,,,waxal,waxal:andu:andù:andũ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
andù,andū,,,,,,,waxal,waxal:andu:andù:andū,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
andú,andû,,,,,,,waxal,waxal:andu:andú:andû,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
andú,andũ,,,,,,,waxal,waxal:andu:andú:andũ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
andú,andū,,,,,,,waxal,waxal:andu:andú:andū,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
andû,andũ,,,,,,,waxal,waxal:andu:andû:andũ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
andû,andū,,,,,,,waxal,waxal:andu:andû:andū,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
andũ,andū,,,,,,,waxal,waxal:andu:andũ:andū,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
angì,angî,,,,,,,waxal,waxal:angi:angì:angî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
angí,angî,,,,,,,waxal,waxal:angi:angí:angî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
angí,angĩ,,,,,,,waxal,waxal:angi:angí:angĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
angî,angĩ,,,,,,,waxal,waxal:angi:angî:angĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
arì,arí,,,,,,,waxal,waxal:ari:arì:arí,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
arì,arî,,,,,,,waxal,waxal:ari:arì:arî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
arì,arĩ,,,,,,,waxal,waxal:ari:arì:arĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
arí,arĩ,,,,,,,waxal,waxal:ari:arí:arĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
arìa,aría,,,,,,,waxal,waxal:aria:arìa:aría,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
arìa,arîa,,,,,,,waxal,waxal:aria:arìa:arîa,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
arìa,arĩa,,,,,,,waxal,waxal:aria:arìa:arĩa,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
aría,arîa,,,,,,,waxal,waxal:aria:aría:arîa,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
arîa,arĩa,,,,,,,waxal,waxal:aria:arîa:arĩa,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
arûme,arūme,,,,,,,waxal,waxal:arume:arûme:arūme,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
atì,atí,,,,,,,waxal,waxal:ati:atì:atí,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
atì,atî,,,,,,,waxal,waxal:ati:atì:atî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
atì,atĩ,,,,,,,waxal,waxal:ati:atì:atĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
atí,atî,,,,,,,waxal,waxal:ati:atí:atî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
atí,atĩ,,,,,,,waxal,waxal:ati:atí:atĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
atìa,atía,,,,,,,waxal,waxal:atia:atìa:atía,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
atìa,atĩa,,,,,,,waxal,waxal:atia:atìa:atĩa,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
atía,atîa,,,,,,,waxal,waxal:atia:atía:atîa,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
atía,atĩa,,,,,,,waxal,waxal:atia:atía:atĩa,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
atîa,atĩa,,,,,,,waxal,waxal:atia:atîa:atĩa,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
atírírí,atĩrĩrĩ,,,,,,,waxal,waxal:atiriri:atírírí:atĩrĩrĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bamírí,bamîrî,,,,,,,waxal,waxal:bamiri:bamírí:bamîrî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
biú,biû,,,,,,,waxal,waxal:biu:biú:biû,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
biú,biū,,,,,,,waxal,waxal:biu:biú:biū,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
biû,biū,,,,,,,waxal,waxal:biu:biû:biū,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bùrùri,búruri,,,,,,,waxal,waxal:bururi:bùrùri:búruri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bùrùri,búrurí,,,,,,,waxal,waxal:bururi:bùrùri:búrurí,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bùrùri,búrúri,,,,,,,waxal,waxal:bururi:bùrùri:búrúri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bùrùri,bûrûrî,,,,,,,waxal,waxal:bururi:bùrùri:bûrûrî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bùrùri,bũrũri,,,,,,,waxal,waxal:bururi:bùrùri:bũrũri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bùrùri,būrūri,,,,,,,waxal,waxal:bururi:bùrùri:būrūri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
búruri,búrurí,,,,,,,waxal,waxal:bururi:búruri:búrurí,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
búruri,búrúri,,,,,,,waxal,waxal:bururi:búruri:búrúri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
búruri,bûrûri,,,,,,,waxal,waxal:bururi:búruri:bûrûri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
búruri,būrūri,,,,,,,waxal,waxal:bururi:búruri:būrūri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
búrurí,búrúri,,,,,,,waxal,waxal:bururi:búrurí:búrúri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
búrurí,bûrûri,,,,,,,waxal,waxal:bururi:búrurí:bûrûri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
búrurí,bûrûrî,,,,,,,waxal,waxal:bururi:búrurí:bûrûrî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
búrurí,bũrũri,,,,,,,waxal,waxal:bururi:búrurí:bũrũri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
búrúri,bûrûri,,,,,,,waxal,waxal:bururi:búrúri:bûrûri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
búrúri,bûrûrî,,,,,,,waxal,waxal:bururi:búrúri:bûrûrî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
búrúri,bũrũri,,,,,,,waxal,waxal:bururi:búrúri:bũrũri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
búrúri,būrūri,,,,,,,waxal,waxal:bururi:búrúri:būrūri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bûrûri,bûrûrî,,,,,,,waxal,waxal:bururi:bûrûri:bûrûrî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bûrûri,bũrũri,,,,,,,waxal,waxal:bururi:bûrûri:bũrũri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bûrûri,būrūri,,,,,,,waxal,waxal:bururi:bûrûri:būrūri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bûrûrî,bũrũri,,,,,,,waxal,waxal:bururi:bûrûrî:bũrũri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bûrûrî,būrūri,,,,,,,waxal,waxal:bururi:bûrûrî:būrūri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bũrũri,būrūri,,,,,,,waxal,waxal:bururi:bũrũri:būrūri,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bùrùrini,bũrũrinĩ,,,,,,,waxal,waxal:bururini:bùrùrini:bũrũrinĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
bùrùrini,būrūrini,,,,,,,waxal,waxal:bururini:bùrùrini:būrūrini,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
ciarì,ciarĩ,,,,,,,waxal,waxal:ciari:ciarì:ciarĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
ciì,cií,,,,,,,waxal,waxal:cii:ciì:cií,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
ciì,ciî,,,,,,,waxal,waxal:cii:ciì:ciî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
ciìko,ciĩko,,,,,,,waxal,waxal:ciiko:ciìko:ciĩko,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
ciíko,ciĩko,,,,,,,waxal,waxal:ciiko:ciíko:ciĩko,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
